NUMERO	FECHA	CIA_KEY	CODIGO_CTE	CODIGO_VENDEDOR	FORMA_PAGO	OBSERVACION	MONEDA	VALOR_TOTAL_DET	STATUS	FECHA_IN	IN_POR	FECHA_MOD	MOD_POR	NUMERO_FACTURA	NUMERO_DOC_PAGO	SERIE_NCF_ASIGNADO	MONTO_BRUTO	PORC_DESCUENTO	MONTO_DESCUENTO	MONTO_INICIAL	NOMBRE_CLIENTE_GENERAL	MONTO_PAGADO	MONTO_CAMBIO	MONTO_TOTAL_ITBIS	MONTODESCGASTOSADMIN	MONTODESCITBISGASTOSADMIN	MONTODESCTRANSP	MONTODESCDIRTECNICA	MONTODESCITBISDIRTECNICA	MONTODESCIMPREVISTO	MONTODESCITBISIMPREVISTO
4335	01.01.2012, 00:00:00.000	1	6	0	7	Venta a Credito	1	5320.46	A	07.11.2009, 12:32:35.000	[null]	[null]	[null]	757	[null]	3716	4586.60	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4336	01.01.2012, 00:00:00.000	1	6	0	7	Venta a Credito	1	555.93	A	11.11.2009, 22:52:42.000	[null]	[null]	[null]	758	[null]	3718	479.25	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4337	01.01.2012, 00:00:00.000	1	6	0	7	Venta a Credito	1	2184.57	A	11.11.2009, 22:53:25.000	[null]	[null]	[null]	759	[null]	[null]	1883.25	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4338	01.01.2012, 00:00:00.000	1	6	0	1	Venta Cash	1	670.14	A	11.11.2009, 22:54:23.000	[null]	[null]	[null]	[null]	[null]	3719	670.14	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4339	01.01.2012, 00:00:00.000	1	6	0	1	Venta Cash	1	4050.00	A	11.11.2009, 22:55:29.000	[null]	[null]	[null]	[null]	[null]	[null]	4050.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4340	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	1009.81	A	12.11.2009, 21:06:47.000	[null]	[null]	[null]	[null]	[null]	[null]	1009.81	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4341	01.01.2012, 00:00:00.000	1	1	0	7	Venta a Credito	1	1293.88	A	12.11.2009, 21:07:10.000	[null]	[null]	[null]	760	[null]	[null]	1115.41	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4342	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	3288.80	A	12.11.2009, 21:45:15.000	[null]	[null]	[null]	[null]	[null]	[null]	3288.80	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4343	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	3088.80	A	12.11.2009, 21:58:19.000	[null]	[null]	[null]	[null]	[null]	3720	3088.80	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4311	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	582.40	A	21.10.2009, 15:05:26.000	[null]	[null]	[null]	[null]	[null]	3693	582.40	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4312	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	1208.00	A	22.10.2009, 09:48:17.000	[null]	[null]	[null]	[null]	[null]	3694	1208.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4313	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	345.74	A	22.10.2009, 09:49:38.000	[null]	[null]	[null]	[null]	[null]	3695	345.74	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4314	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	116.00	A	22.10.2009, 10:23:17.000	[null]	[null]	[null]	[null]	[null]	3696	116.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4315	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	35.00	A	22.10.2009, 10:23:43.000	[null]	[null]	[null]	[null]	[null]	3697	35.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4316	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	65.18	A	22.10.2009, 10:49:04.000	[null]	[null]	[null]	[null]	[null]	3698	65.18	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4317	01.01.2012, 00:00:00.000	1	0	2	6	Devolucion	1	-116.00	A	22.10.2009, 10:52:23.000	[null]	[null]	[null]	[null]	[null]	[null]	-116.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4318	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	121.50	A	22.10.2009, 11:32:55.000	[null]	[null]	[null]	[null]	[null]	3699	121.50	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
